Name,Price,URL,Rating,Number of Reviews
Elegant 16 inch 28 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,799,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjUyODg1ODI5Njk3NDYzOjE2ODg2NjA1MjU6c3BfYXRmOjMwMDAwMTExNjY0ODAzMjo6MDo6&url=%2FElegant-Leatherette-Waterproof-Backpack-Business%2Fdp%2FB0C4GWK9HR%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660525%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,5.0 out of 5 stars,5
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjUyODg1ODI5Njk3NDYzOjE2ODg2NjA1MjU6c3BfYXRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660525%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.3 out of 5 stars,58
Skybags Brat Black 46 Cms Casual Backpack,599,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-3,4.1 out of 5 stars,"5,000"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-4,4.0 out of 5 stars,"55,188"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),550,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-5,4.3 out of 5 stars,"11,550"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-6,4.0 out of 5 stars,"4,640"
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-7,4.3 out of 5 stars,416
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-8,4.3 out of 5 stars,"5,379"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-9,3.9 out of 5 stars,959
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,749,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-10,4.1 out of 5 stars,"1,457"
"WALKENT Premium 2 in 1 Multifunction Travel Backpack & Laptop Bag Ideal for Sales & Marketing Jobs - Waterproof, Cushioned Strap, Multiple Carrying Positions for Men - (Model Duo, 35 Ltrs)","3,190",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjUyODg1ODI5Njk3NDYzOjE2ODg2NjA1MjU6c3BfbXRmOjIwMTYzMDU5ODA0MTk4OjowOjo&url=%2FWALKENT-Multifunction-Duo-Marketing-Waterproof%2Fdp%2FB0BJ986NTC%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660525%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.6 out of 5 stars,19
Pramadda Pure Luxury Elegant Vegan Leather 15.6 Inch Laptop Backpack for Men Women | Trendy Bags for Office College School Travel | Three Compartment Tourister Leather Bags. (Choco Brown),"1,399",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjUyODg1ODI5Njk3NDYzOjE2ODg2NjA1MjU6c3BfbXRmOjMwMDAwNDA3NTY3ODQzMjo6MDo6&url=%2FPramadda-Pure-Luxury-Compartment-Tourister%2Fdp%2FB0C8KSC5N7%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660525%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,,
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-13,3.9 out of 5 stars,"16,375"
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",689,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-14,3.8 out of 5 stars,"2,211"
Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-15,4.3 out of 5 stars,"7,480"
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,085",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-16,4.4 out of 5 stars,"5,779"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-17,3.8 out of 5 stars,"2,898"
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",550,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-18,4.3 out of 5 stars,"11,550"
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-19,4.0 out of 5 stars,"19,757"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",899,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1688660525&sprefix=ba%2Caps%2C283&sr=8-20,3.9 out of 5 stars,935
